posición,area,á.liq.,grupo_de_personal,codigo_postal,motivo_de_la_renuncia,banda,baja,reglapht,alta,años,meses,antigüedad,clave_de_sexo,lugar_de_nacimiento,nacionalidad,edad_del_empleado,estado_civil,hijos
POS581,LOG,S6,Exempt,32433,Vol-Otro empleo,E3,2023-06-01,JF010600,2021-05-27,2,19.63333333,589,masculino,CHIHUAHUA,Mexican,30,solter,0
POS2803,VS5,S5,Direct,32600,Imp.Tra-LFT y/o Reglamento int,DNO,2023-07-01,JF050600,2017-07-13,6,66.8,2004,masculino,TORREON,Mexican,45,casad.,2
POS2939,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-09-01,JS011500,2022-08-12,1,1.066666667,32,masculino,JUAREZ,Mexican,18,solter,0
POS538,VS4,S5,Direct,32599,Vol-No regreso / no dio razón,DO,2023-09-01,JT031800,2022-06-10,1,3.166666667,95,masculino,COATZACOALCOS,Mexican,30,solter,0
POS1380,MFS,S5,Direct,32599,Vol-Otro empleo,DO,2023-10-01,JT031800,2019-03-28,4,46.13333333,1384,femenino,JUAREZ,Mexican,22,solter,0
POS1230,VS7,S5,Direct,32575,Vol-Otro empleo,DNO,2023-10-01,JF010600,2019-12-09,4,40.53333333,1216,masculino,JUAREZ,Mexican,24,solter,0
POS1380,MFS,S5,Direct,32696,Vol-Otro empleo,DO,2023-10-01,JT031800,2021-04-02,2,23.5,705,femenino,TEMIXO,Mexican,23,U.Libr,1
POS1921,MFS,S5,Direct,32575,Vol-Insatisfacción personal,DO,2023-10-01,JF010600,2021-04-02,2,23.5,705,femenino,VERACRUZ,Mexican,23,solter,0
POS538,VS7,S5,Direct,32575,Vol-Cambio de domicilio,DO,2023-10-01,JT031800,2022-11-08,1,5.066666667,152,masculino,DURANGO,Mexican,20,solter,0
POS1323,VS5,S5,Direct,32599,Vol-Insatisfacción personal,DO,2023-10-01,JS011500,2022-09-14,1,3.933333333,118,femenino,DURANGO,Mexican,48,casad.,3
POS1323,VS9-ABS,S5,Direct,32570,Vol-Prob personales y/o fam.,DO,2023-10-01,JF010600,2022-03-10,1,3.3,99,masculino,JUAREZ,Mexican,45,U.Libr,2
POS1921,MFS,S5,Direct,32575,Vol-Insatisfacción personal,DO,2023-10-01,JF010600,2022-03-10,1,3.3,99,femenino,CHIHUAHUA,Mexican,33,U.Libr,0
POS2939,VS9-ABS,S5,Direct,32598,Vol-No regreso / no dio razón,DO,2023-10-01,JF010600,2022-01-12,1,1.333333333,40,masculino,VERACRUZ,Mexican,22,solter,0
POS347,LOG,S5,Direct,32696,Imp.Tra-Ausentismos continuos,DNO,2023-10-01,JS011500,2022-12-15,1,0.8666666667,26,masculino,CHIHUAHUA,Mexican,31,solter,1
POS2384,QMM,S5,Direct,32217,Vol-Otro empleo,DNO,2023-10-01,JF010600,2005-02-11,18,209.2666667,6278,masculino,SAN RAFAEL DE ARRIBA,Mexican,45,casad.,4
POS2553,QMM,S5,Direct,32150,Vol-Prob personales y/o fam.,DNO,2023-10-01,JT012324,2013-07-15,10,115.5333333,3466,femenino,SAN PEDRO VALPARAISO,Mexican,39,casad.,3
POS2802,TEF,S5,Direct,32599,Vol-Prob personales y/o fam.,DNO,2023-10-01,JF010600,2015-04-13,8,94.3,2829,femenino,GOMEZ PALACIO,Mexican,27,U.Libr,0
POS538,VS9-ABS,S5,Direct,32540,Vol-Insatisfacción personal,DO,2023-10-01,JF060600,2016-02-11,7,75.33333333,2260,femenino,POBLADO EL LUCERO,Mexican,36,U.Libr,2
POS1661,MFS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-11-01,JT012324,2022-08-12,1,1.133333333,34,femenino,CAMARGO,Mexican,36,casad.,3
POS1230,VS9-ABS,S5,Direct,32665,Vol-Transferencia entre planta,DNO,2023-01-13,JF010600,2018-08-11,5,50.9,1527,masculino,JUAREZ,Mexican,24,U.Libr,0
POS2076,HRL,S6,Exempt,32695,Imp.Pat-Pensionado IMSS,E3,2023-01-13,ADMINIST,2006-01-23,17,206.6333333,6199,femenino,NUEVO CASAS GRANDES,Mexican,42,solter,1
POS1921,MFS,S5,Direct,32575,Vol-Transferencia entre planta,DO,2023-01-13,JS011500,2022-07-28,1,5.633333333,169,femenino,JUAREZ,Mexican,24,solter,0
POS2046,VS4,S6,Exempt,32410,Vol-Transferencia entre planta,E4,2023-01-13,ADMINIST,2006-05-15,17,202.9,6087,femenino,CUAUHTEMOC,Mexican,42,solter,2
POS2856,VS5,S6,Exempt,32587,Vol-Otro empleo,E3,2023-01-13,ADMINIST,2014-04-23,9,106.2333333,3187,masculino,JUAREZ,Mexican,28,solter,0
POS2939,VS1-HOUS,S5,Direct,32599,Vol-No regreso / no dio razón,DO,2023-01-16,JF010600,2022-01-12,1,1.533333333,46,femenino,GUERRERO,Mexican,24,solter,1
POS347,LOG,S5,Direct,32697,Vol-No regreso / no dio razón,DNO,2023-01-16,JS011500,2022-12-22,1,0.8333333333,25,masculino,JIQUIPILAS,Mexican,20,U.Libr,0
POS347,LOG,S5,Direct,32575,Vol-No regreso / no dio razón,DNO,2023-01-16,JT021800,2022-01-12,1,1.533333333,46,masculino,JUAREZ,Mexican,28,divorc,1
POS538,VS5,S5,Direct,32575,Vol-Otro empleo,DO,2023-01-17,JF060600,2020-08-10,3,27.7,831,femenino,JUAREZ,Mexican,20,solter,0
POS538,VS7,S5,Direct,32575,Vol-Prob personales y/o fam.,DO,2023-01-17,JT031800,2020-11-26,3,26.06666667,782,masculino,CHIHUAHUA,Mexican,45,U.Libr,1
POS538,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,DO,2023-01-17,JT031800,2022-08-25,1,4.833333333,145,femenino,OAXACA,Mexican,38,casad.,3
POS1323,VS9-ABS,S5,Direct,32599,Vol-Cambio de domicilio,DO,2023-01-17,JF010600,2022-08-09,1,4.366666667,131,masculino,TABASCO,Mexican,39,U.Libr,3
POS538,VS9-ABS,S5,Direct,32575,Vol-Estudios,DO,2023-01-17,JF060600,2022-11-17,1,2.033333333,61,femenino,JUAREZ,Mexican,20,solter,0
POS2803,VS7,S5,Direct,32576,Vol-Otro empleo,DNO,2023-01-17,JF010600,2017-08-06,6,68.3,2049,masculino,JUAREZ,Mexican,47,casad.,2
POS2803,VS7,S5,Direct,32594,Vol-Prob personales y/o fam.,DNO,2023-01-17,JS011500,2016-06-04,7,82.56666667,2477,masculino,VERACRUZ,Mexican,65,casad.,4
POS2939,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-01-18,JT012324,2022-03-11,1,2.533333333,76,femenino,SAN DIMAS,Mexican,37,U.Libr,2
POS1380,MFS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-01-19,JT031800,2020-02-20,3,35.46666667,1064,femenino,COSAMALOAPAN,Mexican,28,casad.,0
POS1921,MFS,S5,Direct,32575,Vol-Transferencia entre planta,DO,2023-01-20,JS011500,2013-04-12,10,111.1333333,3334,femenino,VERACRUZ,Mexican,39,U.Libr,2
POS538,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-01-23,JT031800,2022-03-11,1,2.7,81,femenino,ANGEL R CABADA,Mexican,46,U.Libr,2
POS538,VS5,S5,Direct,32696,Vol-No regreso / no dio razón,DO,2023-01-23,JF060600,2022-12-15,1,1.3,39,femenino,CHIHUAHUA,Mexican,31,U.Libr,3
POS1380,MFS,S5,Direct,32695,Vol-No regreso / no dio razón,DO,2023-01-23,JF060600,2022-12-15,1,1.3,39,femenino,DURANGO,Mexican,53,casad.,3
POS1380,MFS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-01-23,JF060600,2022-12-15,1,1.3,39,femenino,COAHUILA,Mexican,42,casad.,3
POS1380,MFS,S5,Direct,32575,Vol-Cambio de domicilio,DO,2023-01-24,JT031800,2022-09-14,1,4.4,132,femenino,DURANGO,Mexican,30,solter,0
POS538,VS1,S5,Direct,32543,Vol-Estudios,DO,2023-01-24,JT031800,2019-04-07,4,43.33333333,1300,femenino,JUAREZ,Mexican,21,solter,0
POS1323,VS9-ABS,S5,Direct,32599,Vol-Otro empleo,DO,2023-01-24,JF010600,2020-02-13,3,35.86666667,1076,femenino,COATZACOALCOS,Mexican,21,solter,0
POS1921,MFS,S5,Direct,32575,Vol-Razones médicas,DO,2023-01-24,JT012324,2020-03-12,3,26.06666667,782,femenino,VERACRUZ,Mexican,52,solter,1
POS1323,VS9-ABS,S5,Direct,32570,Vol-Prob personales y/o fam.,DO,2023-01-24,JF010600,2021-04-03,2,23.03333333,691,femenino,JUAREZ,Mexican,30,casad.,1
POS1323,VS5,S5,Direct,32575,Vol-Insatisfacción personal,DO,2023-01-24,JT012324,2022-01-09,1,4.833333333,145,femenino,JUAREZ,Mexican,25,U.Libr,3
POS538,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-01-24,JT031800,2022-11-17,1,2.266666667,68,femenino,SAN FRANCISCO DEL MAR,Mexican,31,casad.,3
POS347,LOG,S5,Direct,32575,Vol-Insatisfacción personal,DNO,2023-01-24,JS011500,2014-08-20,9,102.6333333,3079,masculino,JUAREZ,Mexican,27,casad.,2
POS1230,VS7,S5,Direct,32599,Vol-Otro empleo,DNO,2023-01-24,JF010600,2016-09-11,7,75.56666667,2267,masculino,DURANGO,Mexican,34,divorc,1
POS538,VS1,S5,Direct,32575,Vol-Prob personales y/o fam.,DO,2023-01-24,JF060600,2017-11-16,6,63.16666667,1895,femenino,TORREON,Mexican,27,U.Libr,2
POS347,LOG,S5,Direct,32599,Vol-Transferencia entre planta,DNO,2023-01-26,JS011500,2023-01-19,0,0.2333333333,7,masculino,JUAREZ,Mexican,22,U.Libr,1
POS1323,VS5,S5,Direct,32600,Vol-Transferencia entre planta,DO,2023-01-27,JS011500,2017-12-14,6,62.33333333,1870,masculino,VERACRUZ,Mexican,42,U.Libr,1
POS1683,CTG,S6,Exempt,32575,Vol-Transferencia entre planta,E4,2023-01-29,ADMINIST,2015-02-12,8,87.16666667,2615,femenino,JUAREZ,Mexican,29,solter,0
POS538,VS1-HOUS,S5,Direct,32599,Vol-No regreso / no dio razón,DO,2023-01-30,JF060600,2022-08-09,1,4.8,144,femenino,CUENCAME,Mexican,31,solter,3
POS538,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-01-30,JT031800,2022-03-11,1,2.933333333,88,femenino,TUXTEPEC,Mexican,24,solter,0
POS1376,VS5,S5,Direct,32599,Vol-No regreso / no dio razón,DNO,2023-01-30,JT021800,2007-03-09,16,187.6,5628,femenino,VERACRUZ,Mexican,39,U.Libr,4
POS347,LOG,S5,Direct,32599,Vol-Prob personales y/o fam.,DNO,2023-01-31,JS011500,2019-01-10,4,40.6,1218,femenino,JUAREZ,Mexican,22,solter,0
POS538,VS9-ABS,S5,Direct,32575,Vol-Otro empleo,DO,2023-01-31,JF060600,2022-08-09,1,4.833333333,145,masculino,JUAREZ,Mexican,24,solter,0
POS1380,MFS,S5,Direct,32583,Vol-Otro empleo,DO,2023-01-31,JF060600,2017-08-31,6,65.96666667,1979,masculino,OAXACA,Mexican,25,solter,0
POS1323,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,DO,2023-01-31,JF010600,2022-03-10,1,4,120,femenino,MINATITLAN,Mexican,23,solter,0
POS1661,MFS,S5,Direct,32599,Vol-Estudios,DO,2023-01-31,JS011500,2022-10-20,1,3.433333333,103,masculino,JUAREZ,Mexican,24,solter,0
POS1376,MFS,S5,Direct,32160,Vol-Otro empleo,DNO,2023-01-31,JF050600,2012-02-02,11,133.8666667,4016,masculino,TOLUCA,Mexican,30,solter,0
POS1661,MFS,S5,Direct,32695,Vol-Estudios,DO,2023-01-31,JF010600,2022-11-24,1,2.266666667,68,femenino,JUAREZ,Mexican,18,solter,0
POS1921,MFS,S5,Direct,32600,Vol-Otro empleo,DO,2023-01-31,JS011500,2017-12-28,6,62,1860,masculino,GUERRERO,Mexican,25,U.Libr,2
POS538,VS7,S5,Direct,32575,Vol-Prob personales y/o fam.,DO,2023-01-31,JT031800,2022-11-08,1,5.766666667,173,femenino,VERACRUZ,Mexican,22,solter,1
POS1380,MFS,S5,Direct,32575,Vol-Prob personales y/o fam.,DO,2023-01-31,JT031800,2022-09-29,1,4.133333333,124,masculino,CHIHUAHUA,Mexican,30,casad.,2
POS2939,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-01-02,JT012324,2022-11-17,1,2.533333333,76,femenino,CORDOBA,Mexican,33,U.Libr,2
POS750,TEF,S5,Indirect,32545,Vol-Transferencia entre planta,DNO,2023-03-02,ADMINIST,2019-02-05,4,45.76666667,1373,masculino,JUAREZ,Mexican,30,solter,0
POS750,TEF,S5,Indirect,32100,Vol-Transferencia entre planta,DNO,2023-03-02,ADMINIST,2021-06-05,2,21.26666667,638,masculino,CHIHUAHUA,Mexican,30,solter,0
POS907,VS9-ABS,S6,Exempt,32540,Vol-Otro empleo,E3,2023-03-02,ADMINIST,2017-10-23,6,64.3,1929,femenino,JUAREZ,Mexican,30,solter,0
POS2745,MFS,S6,Exempt,32546,Vol-Otro empleo,E4,2023-03-02,ADMINIST,2016-06-15,7,80.8,2424,masculino,JUAREZ,Mexican,47,divorc,2
POS1230,VS7,S5,Direct,32599,Vol-Transferencia entre planta,DNO,2023-03-02,JF010600,2016-06-04,7,83.13333333,2494,masculino,JUCHITAN,Mexican,38,solter,1
POS347,LOG,S5,Direct,32575,Vol-No regreso / no dio razón,DNO,2023-06-02,JF010600,2017-07-09,6,65.93333333,1978,masculino,OAXACA,Mexican,34,solter,0
POS538,VS9-ABS,S5,Direct,32563,Vol-Estudios,DO,2023-07-02,JF060600,2019-10-24,4,40.06666667,1202,femenino,CHIHUAHUA,Mexican,23,U.Libr,1
POS1230,VS9-ABS,S5,Direct,32667,Vol-Otro empleo,DNO,2023-07-02,JT012324,2022-12-15,1,1.8,54,masculino,CHIHUAHUA,Mexican,22,solter,0
POS750,TEF,S5,Indirect,32580,Vol-Otro empleo,DNO,2023-07-02,ADMINIST,2017-02-23,6,72.5,2175,femenino,GOMEZ PALACIO,Mexican,25,solter,0
POS2003,VS5,S5,Direct,32575,Vol-Prob personales y/o fam.,DO,2023-07-02,JS011500,2015-05-20,8,94,2820,masculino,GOMEZ PALACIO,Mexican,57,U.Libr,3
POS1884,DBE,S6,Exempt,32240,Vol-Otro empleo,E4,2023-09-02,ADMINIST,2014-08-25,9,103,3090,masculino,JUAREZ,Mexican,33,casad.,1
POS2858,QMM,S6,Exempt,32618,Vol-Otro empleo,E3,2023-10-02,ADMINIST,2018-03-12,5,51,1530,femenino,JUAREZ,Mexican,26,casad.,0
POS1323,VS1,S5,Direct,32599,Vol-Transferencia entre planta,DO,2023-10-02,JF010600,2018-08-30,5,54.16666667,1625,femenino,JUAREZ,Mexican,22,solter,0
POS750,TEF,S5,Indirect,32575,Vol-Transferencia entre planta,DNO,2023-10-02,ADMINIST,2013-07-15,10,116.5666667,3497,masculino,JUAREZ,Mexican,31,U.Libr,0
POS538,VS9-ABS,S5,Direct,32590,Vol-No regreso / no dio razón,DO,2023-02-13,JF060600,2022-06-10,1,4.333333333,130,masculino,CHIHUAHUA,Mexican,20,solter,0
POS2939,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-02-13,JS011500,2023-01-19,0,0.8333333333,25,masculino,VERACRUZ,Mexican,21,solter,0
POS1380,MFS,S5,Direct,32575,Vol-Estudios,DO,2023-02-14,JF060600,2018-12-27,5,50.33333333,1510,femenino,JUAREZ,Mexican,23,solter,0
POS1323,VS5,S5,Direct,32575,Vol-Estudios,DO,2023-02-14,JT012324,2022-01-09,1,5.533333333,166,femenino,CHIHUAHUA,Mexican,20,solter,0
POS347,LOG,S5,Direct,32575,Vol-Prob personales y/o fam.,DNO,2023-02-14,JF010600,2022-03-10,1,4.466666667,134,masculino,GUADALAJARA,Mexican,36,solter,1
POS2939,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,DO,2023-02-14,JF010600,2022-01-12,1,2.5,75,femenino,CHIHUAHUA,Mexican,33,solter,2
POS750,TEF,S5,Indirect,32573,Vol-Otro empleo,DNO,2023-02-14,ADMINIST,2023-01-19,0,0.8666666667,26,femenino,JUAREZ,Mexican,24,solter,0
POS538,VS1-HOUS,S5,Direct,32600,Vol-Estudios,DO,2023-02-14,JF060600,2017-07-13,6,68.06666667,2042,masculino,JUAREZ,Mexican,25,solter,0
POS2939,VS9-ABS,S5,Direct,32575,Vol-Insatisfacción personal,DO,2023-02-14,JS011500,2022-01-12,1,2.5,75,masculino,LERDO,Mexican,33,solter,3
POS2939,VS5,S5,Direct,32573,Vol-No regreso / no dio razón,DO,2023-02-15,JT012324,2023-01-19,0,0.9,27,femenino,CINTALAPA,Mexican,33,U.Libr,2
POS2939,VS9-ABS,S5,Direct,32599,Vol-No regreso / no dio razón,DO,2023-02-16,JS011500,2023-01-26,0,0.7,21,femenino,JUAREZ,Mexican,19,solter,1
POS2939,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-02-16,JS011500,2023-01-26,0,0.7,21,femenino,TLAHUALILO DE ZARAGOZA,Mexican,24,U.Libr,0
POS1921,MFS,S5,Direct,32575,Vol-Transferencia entre planta,DO,2023-02-17,JF010600,2019-10-17,4,40.63333333,1219,femenino,TABASCO,Mexican,32,U.Libr,2
POS1921,MFS,S5,Direct,32424,Imp.Tra-Jubilación,DO,2023-02-17,JF010600,2006-01-16,17,208.0333333,6241,femenino,JUAREZ,Mexican,60,viud.,3
POS347,LOG,S5,Direct,32575,Vol-Insatisfacción personal,DNO,2023-02-21,JS011500,2021-03-25,2,23.26666667,698,masculino,CHIHUAHUA,Mexican,50,casad.,3
POS2939,VS5,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-02-21,JF010600,2023-01-26,0,0.8666666667,26,femenino,JUAREZ,Mexican,24,solter,0
POS1323,VS1-HOUS,S5,Direct,32575,Imp.Tra-Ausentismos continuos,DO,2023-02-21,JF010600,2019-01-24,4,49.63333333,1489,femenino,JUAREZ,Mexican,25,solter,2
POS538,VS7,S5,Direct,32575,Vol-Prob personales y/o fam.,DO,2023-02-21,JT031800,2022-11-08,1,6.466666667,194,femenino,OAXACA,Mexican,26,U.Libr,1
POS538,VS5,S5,Direct,32575,Vol-Estudios,DO,2023-02-21,JT031800,2022-08-25,1,6,180,masculino,JUAREZ,Mexican,21,solter,0
POS538,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,DO,2023-02-21,JF060600,2022-03-11,1,3.666666667,110,femenino,CHIHUAHUA,Mexican,21,solter,0
POS2939,VS9-ABS,S5,Direct,32599,Vol-No regreso / no dio razón,DO,2023-02-21,JS011500,2023-01-26,0,0.8666666667,26,masculino,JUAREZ,Mexican,20,solter,0
POS2939,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,DO,2023-02-21,JS011500,2023-02-02,0,0.6333333333,19,femenino,OAXACA,Mexican,38,U.Libr,3
POS2939,VS5,S5,Direct,32675,Vol-No regreso / no dio razón,DO,2023-02-22,JF010600,2023-12-01,0,1.366666667,41,masculino,JUAREZ,Mexican,20,U.Libr,1
POS1230,TEF,S5,Indirect,32380,Vol-Transferencia entre planta,DNO,2023-02-24,ADMINIST,2021-02-25,2,24.3,729,femenino,CHIHUAHUA,Mexican,25,solter,0
POS1559,MFS,S5,Direct,32575,Vol-Transferencia entre planta,DNO,2023-02-24,JF010600,2021-10-14,2,16.6,498,masculino,CHIHUAHUA,Mexican,23,solter,0
POS538,VS1,S5,Direct,32590,Vol-No regreso / no dio razón,DO,2023-02-27,JT031800,2023-01-26,0,1.066666667,32,femenino,OAXACA,Mexican,27,U.Libr,2
POS2939,VS5,S5,Direct,32600,Vol-No regreso / no dio razón,DO,2023-02-27,JS011500,2023-09-02,0,0.6,18,masculino,CHIHUAHUA,Mexican,30,casad.,2
POS538,VS1,S5,Direct,32575,Vol-Insatisfacción personal,DO,2023-02-28,JF060600,2018-08-30,5,54.76666667,1643,femenino,JUAREZ,Mexican,24,solter,0
POS1323,VS9-ABS,S5,Direct,32695,Vol-Otro empleo,DO,2023-02-28,JF010600,2019-10-24,4,40.76666667,1223,masculino,JUAREZ,Mexican,21,solter,0
POS1323,VS4,S5,Direct,32575,Vol-Otro empleo,DO,2023-02-28,JF010600,2020-11-19,3,27.7,831,femenino,JUAREZ,Mexican,21,solter,0
POS538,VS9-ABS,S5,Direct,32575,Vol-Razones médicas,DO,2023-02-28,JF060600,2022-01-12,1,2.966666667,89,masculino,JUAREZ,Mexican,32,casad.,0
POS907,VS4,S6,Exempt,32350,Vol-Transferencia entre planta,E3,2023-02-28,ADMINIST,2014-01-12,9,100.3666667,3011,masculino,JUAREZ,Mexican,30,casad.,0
POS2939,VS5,S5,Direct,32599,Vol-Prob personales y/o fam.,DO,2023-02-28,JS011500,2023-01-26,0,1.1,33,femenino,JUAREZ,Mexican,19,solter,0
POS1323,VS7,S5,Direct,32599,Vol-Insatisfacción personal,DO,2023-02-28,JT012324,2018-04-01,5,62.7,1881,masculino,JUAREZ,Mexican,25,solter,0
POS1921,MFS,S5,Direct,32590,Vol-Otro empleo,DO,2023-02-28,JF010600,2017-02-03,6,72.96666667,2189,masculino,TEZIUTLAN,Mexican,24,solter,0
POS1230,VS7,S5,Direct,32600,Vol-Otro empleo,DNO,2023-02-28,JS011500,2017-07-20,6,68.3,2049,masculino,MONTERREY,Mexican,24,solter,0
POS1921,MFS,S5,Direct,32696,Vol-Cambio de domicilio,DO,2023-02-28,JT012324,2017-08-31,6,66.9,2007,femenino,TRES VALLES,Mexican,42,casad.,3
POS1323,VS1,S5,Direct,32598,Vol-Prob personales y/o fam.,DO,2023-02-28,JS011500,2022-06-10,1,4.833333333,145,masculino,CHIHUAHUA,Mexican,33,solter,1
POS1921,MFS,S5,Direct,32575,Vol-Transferencia entre planta,DO,2023-03-03,JS011500,2022-07-21,1,7.5,225,masculino,GOMEZ PALACIO,Mexican,29,U.Libr,3
POS2939,VS9-ABS,S5,Direct,32590,Vol-Transferencia entre planta,DO,2023-03-03,JF010600,2022-12-29,1,2.133333333,64,femenino,JUAREZ,Mexican,18,solter,0
POS1230,VS7,S5,Direct,32573,Vol-Transferencia entre planta,DNO,2023-03-03,JF050600,2017-05-10,6,65.83333333,1975,masculino,JUAREZ,Mexican,27,solter,0
POS538,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,DO,2023-06-03,JT031800,2022-08-09,1,5.966666667,179,femenino,JUAREZ,Mexican,30,solter,0
POS538,VS1,S5,Direct,32599,Vol-No regreso / no dio razón,DO,2023-06-03,JT031800,2023-01-26,0,1.3,39,femenino,TUXTEPEC,Mexican,31,U.Libr,2
POS347,LOG,S5,Direct,32160,Vol-Prob personales y/o fam.,DNO,2023-07-03,JS011500,2022-01-12,1,3.2,96,masculino,DURANGO,Mexican,31,casad.,4
POS2939,VS7,S5,Direct,32599,Vol-Prob personales y/o fam.,DO,2023-07-03,JF010600,2023-02-16,0,0.6333333333,19,masculino,COAHUILA,Mexican,19,solter,0
POS2939,VS7,S5,Direct,32599,Vol-Cambio de domicilio,DO,2023-07-03,JF010600,2023-02-16,0,0.6333333333,19,masculino,MOTOZINTLA,Mexican,21,solter,0
