,posicion,area,a.liq.,grupo_de_personal,codigo_postal,motivo_de_la_renuncia,banda,baja,reglapht,alta,anos,meses,antiguedad,clave_de_sexo,lugar_de_nacimiento,edad_del_empleado,estado_civil,hijos,cluster
60,POS538,VS9-ABS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-01-23,JT031800,2022-03-11,1,2.7,81,femenino,ANGEL R CABADA,46,u.libr,2,1
61,POS538,VS5,S5,Direct,32696,vol-no regreso / no dio razon,DO,2023-01-23,JF060600,2022-12-15,1,1.3,39,femenino,CHIHUAHUA,31,u.libr,3,1
62,POS1380,MFS,S5,Direct,32695,vol-no regreso / no dio razon,DO,2023-01-23,JF060600,2022-12-15,1,1.3,39,femenino,DURANGO,53,casad,3,1
63,POS1380,MFS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-01-23,JF060600,2022-12-15,1,1.3,39,femenino,COAHUILA,42,casad,3,1
64,POS1380,MFS,S5,Direct,32575,vol-cambio de domicilio,DO,2023-01-24,JT031800,2022-09-14,1,4.4,132,femenino,DURANGO,30,solter,0,1
65,POS538,VS1,S5,Direct,32543,vol-estudios,DO,2023-01-24,JT031800,2019-04-07,4,43.33333333,1300,femenino,JUAREZ,21,solter,0,1
66,POS1323,VS9-ABS,S5,Direct,32599,vol-otro empleo,DO,2023-01-24,JF010600,2020-02-13,3,35.86666667,1076,femenino,COATZACOALCOS,21,solter,0,1
67,POS1921,MFS,S5,Direct,32575,vol-razones medicas,DO,2023-01-24,JT012324,2020-03-12,3,26.06666667,782,femenino,VERACRUZ,52,solter,1,1
68,POS1323,VS9-ABS,S5,Direct,32570,vol-prob personales y/o fam,DO,2023-01-24,JF010600,2021-04-03,2,23.03333333,691,femenino,JUAREZ,30,casad,1,1
69,POS1323,VS5,S5,Direct,32575,vol-insatisfaccion personal,DO,2023-01-24,JT012324,2022-01-09,1,4.833333333,145,femenino,JUAREZ,25,u.libr,3,1
70,POS538,VS9-ABS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-01-24,JT031800,2022-11-17,1,2.266666667,68,femenino,SAN FRANCISCO DEL MAR,31,casad,3,1
71,POS347,LOG,S5,Direct,32575,vol-insatisfaccion personal,DNO,2023-01-24,JS011500,2014-08-20,9,102.6333333,3079,masculino,JUAREZ,27,casad,2,2
72,POS1230,VS7,S5,Direct,32599,vol-otro empleo,DNO,2023-01-24,JF010600,2016-09-11,7,75.56666667,2267,masculino,DURANGO,34,divorciado,1,2
73,POS538,VS1,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-01-24,JF060600,2017-11-16,6,63.16666667,1895,femenino,TORREON,27,u.libr,2,1
74,POS347,LOG,S5,Direct,32599,vol-transferencia entre planta,DNO,2023-01-26,JS011500,2023-01-19,0,0.2333333333,7,masculino,JUAREZ,22,u.libr,1,2
75,POS1323,VS5,S5,Direct,32600,vol-transferencia entre planta,DO,2023-01-27,JS011500,2017-12-14,6,62.33333333,1870,masculino,VERACRUZ,42,u.libr,1,0
76,POS1683,CTG,S6,Exempt,32575,vol-transferencia entre planta,E4,2023-01-29,ADMINIST,2015-02-12,8,87.16666667,2615,femenino,JUAREZ,29,solter,0,3
77,POS538,VS1-HOUS,S5,Direct,32599,vol-no regreso / no dio razon,DO,2023-01-30,JF060600,2022-08-09,1,4.8,144,femenino,CUENCAME,31,solter,3,1
78,POS538,VS9-ABS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-01-30,JT031800,2022-03-11,1,2.933333333,88,femenino,TUXTEPEC,24,solter,0,1
79,POS1376,VS5,S5,Direct,32599,vol-no regreso / no dio razon,DNO,2023-01-30,JT021800,2007-03-09,16,187.6,5628,femenino,VERACRUZ,39,u.libr,4,2
80,POS347,LOG,S5,Direct,32599,vol-prob personales y/o fam,DNO,2023-01-31,JS011500,2019-01-10,4,40.6,1218,femenino,JUAREZ,22,solter,0,2
81,POS538,VS9-ABS,S5,Direct,32575,vol-otro empleo,DO,2023-01-31,JF060600,2022-08-09,1,4.833333333,145,masculino,JUAREZ,24,solter,0,0
82,POS1380,MFS,S5,Direct,32583,vol-otro empleo,DO,2023-01-31,JF060600,2017-08-31,6,65.96666667,1979,masculino,OAXACA,25,solter,0,0
83,POS1323,VS9-ABS,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-01-31,JF010600,2022-03-10,1,4.0,120,femenino,MINATITLAN,23,solter,0,1
84,POS1661,MFS,S5,Direct,32599,vol-estudios,DO,2023-01-31,JS011500,2022-10-20,1,3.433333333,103,masculino,JUAREZ,24,solter,0,0
85,POS1376,MFS,S5,Direct,32160,vol-otro empleo,DNO,2023-01-31,JF050600,2012-02-02,11,133.8666667,4016,masculino,TOLUCA,30,solter,0,2
86,POS1661,MFS,S5,Direct,32695,vol-estudios,DO,2023-01-31,JF010600,2022-11-24,1,2.266666667,68,femenino,JUAREZ,18,solter,0,1
87,POS1921,MFS,S5,Direct,32600,vol-otro empleo,DO,2023-01-31,JS011500,2017-12-28,6,62.0,1860,masculino,GUERRERO,25,u.libr,2,0
88,POS538,VS7,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-01-31,JT031800,2022-11-08,1,5.766666667,173,femenino,VERACRUZ,22,solter,1,1
89,POS1380,MFS,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-01-31,JT031800,2022-09-29,1,4.133333333,124,masculino,CHIHUAHUA,30,casad,2,0
90,POS2939,VS9-ABS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-01-02,JT012324,2022-11-17,1,2.533333333,76,femenino,CORDOBA,33,u.libr,2,1
91,POS750,TEF,S5,Indirect,32545,vol-transferencia entre planta,DNO,2023-03-02,ADMINIST,2019-02-05,4,45.76666667,1373,masculino,JUAREZ,30,solter,0,2
92,POS750,TEF,S5,Indirect,32100,vol-transferencia entre planta,DNO,2023-03-02,ADMINIST,2021-06-05,2,21.26666667,638,masculino,CHIHUAHUA,30,solter,0,2
93,POS907,VS9-ABS,S6,Exempt,32540,vol-otro empleo,E3,2023-03-02,ADMINIST,2017-10-23,6,64.3,1929,femenino,JUAREZ,30,solter,0,3
94,POS2745,MFS,S6,Exempt,32546,vol-otro empleo,E4,2023-03-02,ADMINIST,2016-06-15,7,80.8,2424,masculino,JUAREZ,47,divorciado,2,3
95,POS1230,VS7,S5,Direct,32599,vol-transferencia entre planta,DNO,2023-03-02,JF010600,2016-06-04,7,83.13333333,2494,masculino,JUCHITAN,38,solter,1,2
96,POS347,LOG,S5,Direct,32575,vol-no regreso / no dio razon,DNO,2023-06-02,JF010600,2017-07-09,6,65.93333333,1978,masculino,OAXACA,34,solter,0,2
97,POS538,VS9-ABS,S5,Direct,32563,vol-estudios,DO,2023-07-02,JF060600,2019-10-24,4,40.06666667,1202,femenino,CHIHUAHUA,23,u.libr,1,1
98,POS1230,VS9-ABS,S5,Direct,32667,vol-otro empleo,DNO,2023-07-02,JT012324,2022-12-15,1,1.8,54,masculino,CHIHUAHUA,22,solter,0,2
99,POS750,TEF,S5,Indirect,32580,vol-otro empleo,DNO,2023-07-02,ADMINIST,2017-02-23,6,72.5,2175,femenino,GOMEZ PALACIO,25,solter,0,2
100,POS2003,VS5,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-07-02,JS011500,2015-05-20,8,94.0,2820,masculino,GOMEZ PALACIO,57,u.libr,3,0
101,POS1884,DBE,S6,Exempt,32240,vol-otro empleo,E4,2023-09-02,ADMINIST,2014-08-25,9,103.0,3090,masculino,JUAREZ,33,casad,1,3
102,POS2858,QMM,S6,Exempt,32618,vol-otro empleo,E3,2023-10-02,ADMINIST,2018-03-12,5,51.0,1530,femenino,JUAREZ,26,casad,0,3
103,POS1323,VS1,S5,Direct,32599,vol-transferencia entre planta,DO,2023-10-02,JF010600,2018-08-30,5,54.16666667,1625,femenino,JUAREZ,22,solter,0,1
104,POS750,TEF,S5,Indirect,32575,vol-transferencia entre planta,DNO,2023-10-02,ADMINIST,2013-07-15,10,116.5666667,3497,masculino,JUAREZ,31,u.libr,0,2
105,POS538,VS9-ABS,S5,Direct,32590,vol-no regreso / no dio razon,DO,2023-02-13,JF060600,2022-06-10,1,4.333333333,130,masculino,CHIHUAHUA,20,solter,0,0
106,POS2939,VS9-ABS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-02-13,JS011500,2023-01-19,0,0.8333333333,25,masculino,VERACRUZ,21,solter,0,0
107,POS1380,MFS,S5,Direct,32575,vol-estudios,DO,2023-02-14,JF060600,2018-12-27,5,50.33333333,1510,femenino,JUAREZ,23,solter,0,1
108,POS1323,VS5,S5,Direct,32575,vol-estudios,DO,2023-02-14,JT012324,2022-01-09,1,5.533333333,166,femenino,CHIHUAHUA,20,solter,0,1
109,POS347,LOG,S5,Direct,32575,vol-prob personales y/o fam,DNO,2023-02-14,JF010600,2022-03-10,1,4.466666667,134,masculino,GUADALAJARA,36,solter,1,2
110,POS2939,VS9-ABS,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-02-14,JF010600,2022-01-12,1,2.5,75,femenino,CHIHUAHUA,33,solter,2,1
111,POS750,TEF,S5,Indirect,32573,vol-otro empleo,DNO,2023-02-14,ADMINIST,2023-01-19,0,0.8666666667,26,femenino,JUAREZ,24,solter,0,2
112,POS538,VS1-HOUS,S5,Direct,32600,vol-estudios,DO,2023-02-14,JF060600,2017-07-13,6,68.06666667,2042,masculino,JUAREZ,25,solter,0,0
113,POS2939,VS9-ABS,S5,Direct,32575,vol-insatisfaccion personal,DO,2023-02-14,JS011500,2022-01-12,1,2.5,75,masculino,LERDO,33,solter,3,0
114,POS2939,VS5,S5,Direct,32573,vol-no regreso / no dio razon,DO,2023-02-15,JT012324,2023-01-19,0,0.9,27,femenino,CINTALAPA,33,u.libr,2,1
115,POS2939,VS9-ABS,S5,Direct,32599,vol-no regreso / no dio razon,DO,2023-02-16,JS011500,2023-01-26,0,0.7,21,femenino,JUAREZ,19,solter,1,1
116,POS2939,VS9-ABS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-02-16,JS011500,2023-01-26,0,0.7,21,femenino,TLAHUALILO DE ZARAGOZA,24,u.libr,0,1
117,POS1921,MFS,S5,Direct,32575,vol-transferencia entre planta,DO,2023-02-17,JF010600,2019-10-17,4,40.63333333,1219,femenino,TABASCO,32,u.libr,2,1
118,POS1921,MFS,S5,Direct,32424,imp.tra-jubilacion,DO,2023-02-17,JF010600,2006-01-16,17,208.0333333,6241,femenino,JUAREZ,60,viud,3,1
119,POS347,LOG,S5,Direct,32575,vol-insatisfaccion personal,DNO,2023-02-21,JS011500,2021-03-25,2,23.26666667,698,masculino,CHIHUAHUA,50,casad,3,2
120,POS2939,VS5,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-02-21,JF010600,2023-01-26,0,0.8666666667,26,femenino,JUAREZ,24,solter,0,1
121,POS1323,VS1-HOUS,S5,Direct,32575,imp.tra-ausentismos continuos,DO,2023-02-21,JF010600,2019-01-24,4,49.63333333,1489,femenino,JUAREZ,25,solter,2,1
122,POS538,VS7,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-02-21,JT031800,2022-11-08,1,6.466666667,194,femenino,OAXACA,26,u.libr,1,1
123,POS538,VS5,S5,Direct,32575,vol-estudios,DO,2023-02-21,JT031800,2022-08-25,1,6.0,180,masculino,JUAREZ,21,solter,0,0
124,POS538,VS9-ABS,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-02-21,JF060600,2022-03-11,1,3.666666667,110,femenino,CHIHUAHUA,21,solter,0,1
125,POS2939,VS9-ABS,S5,Direct,32599,vol-no regreso / no dio razon,DO,2023-02-21,JS011500,2023-01-26,0,0.8666666667,26,masculino,JUAREZ,20,solter,0,0
126,POS2939,VS9-ABS,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-02-21,JS011500,2023-02-02,0,0.6333333333,19,femenino,OAXACA,38,u.libr,3,1
127,POS2939,VS5,S5,Direct,32675,vol-no regreso / no dio razon,DO,2023-02-22,JF010600,2023-12-01,0,1.366666667,41,masculino,JUAREZ,20,u.libr,1,0
128,POS1230,TEF,S5,Indirect,32380,vol-transferencia entre planta,DNO,2023-02-24,ADMINIST,2021-02-25,2,24.3,729,femenino,CHIHUAHUA,25,solter,0,2
129,POS1559,MFS,S5,Direct,32575,vol-transferencia entre planta,DNO,2023-02-24,JF010600,2021-10-14,2,16.6,498,masculino,CHIHUAHUA,23,solter,0,2
130,POS538,VS1,S5,Direct,32590,vol-no regreso / no dio razon,DO,2023-02-27,JT031800,2023-01-26,0,1.066666667,32,femenino,OAXACA,27,u.libr,2,1
131,POS2939,VS5,S5,Direct,32600,vol-no regreso / no dio razon,DO,2023-02-27,JS011500,2023-09-02,0,0.6,18,masculino,CHIHUAHUA,30,casad,2,0
132,POS538,VS1,S5,Direct,32575,vol-insatisfaccion personal,DO,2023-02-28,JF060600,2018-08-30,5,54.76666667,1643,femenino,JUAREZ,24,solter,0,1
133,POS1323,VS9-ABS,S5,Direct,32695,vol-otro empleo,DO,2023-02-28,JF010600,2019-10-24,4,40.76666667,1223,masculino,JUAREZ,21,solter,0,0
134,POS1323,VS4,S5,Direct,32575,vol-otro empleo,DO,2023-02-28,JF010600,2020-11-19,3,27.7,831,femenino,JUAREZ,21,solter,0,1
135,POS538,VS9-ABS,S5,Direct,32575,vol-razones medicas,DO,2023-02-28,JF060600,2022-01-12,1,2.966666667,89,masculino,JUAREZ,32,casad,0,0
136,POS907,VS4,S6,Exempt,32350,vol-transferencia entre planta,E3,2023-02-28,ADMINIST,2014-01-12,9,100.3666667,3011,masculino,JUAREZ,30,casad,0,3
137,POS2939,VS5,S5,Direct,32599,vol-prob personales y/o fam,DO,2023-02-28,JS011500,2023-01-26,0,1.1,33,femenino,JUAREZ,19,solter,0,1
138,POS1323,VS7,S5,Direct,32599,vol-insatisfaccion personal,DO,2023-02-28,JT012324,2018-04-01,5,62.7,1881,masculino,JUAREZ,25,solter,0,0
139,POS1921,MFS,S5,Direct,32590,vol-otro empleo,DO,2023-02-28,JF010600,2017-02-03,6,72.96666667,2189,masculino,TEZIUTLAN,24,solter,0,0
140,POS1230,VS7,S5,Direct,32600,vol-otro empleo,DNO,2023-02-28,JS011500,2017-07-20,6,68.3,2049,masculino,MONTERREY,24,solter,0,2
141,POS1921,MFS,S5,Direct,32696,vol-cambio de domicilio,DO,2023-02-28,JT012324,2017-08-31,6,66.9,2007,femenino,TRES VALLES,42,casad,3,1
142,POS1323,VS1,S5,Direct,32598,vol-prob personales y/o fam,DO,2023-02-28,JS011500,2022-06-10,1,4.833333333,145,masculino,CHIHUAHUA,33,solter,1,0
143,POS1921,MFS,S5,Direct,32575,vol-transferencia entre planta,DO,2023-03-03,JS011500,2022-07-21,1,7.5,225,masculino,GOMEZ PALACIO,29,u.libr,3,0
144,POS2939,VS9-ABS,S5,Direct,32590,vol-transferencia entre planta,DO,2023-03-03,JF010600,2022-12-29,1,2.133333333,64,femenino,JUAREZ,18,solter,0,1
145,POS1230,VS7,S5,Direct,32573,vol-transferencia entre planta,DNO,2023-03-03,JF050600,2017-05-10,6,65.83333333,1975,masculino,JUAREZ,27,solter,0,2
146,POS538,VS9-ABS,S5,Direct,32575,vol-no regreso / no dio razon,DO,2023-06-03,JT031800,2022-08-09,1,5.966666667,179,femenino,JUAREZ,30,solter,0,1
147,POS538,VS1,S5,Direct,32599,vol-no regreso / no dio razon,DO,2023-06-03,JT031800,2023-01-26,0,1.3,39,femenino,TUXTEPEC,31,u.libr,2,1
148,POS347,LOG,S5,Direct,32160,vol-prob personales y/o fam,DNO,2023-07-03,JS011500,2022-01-12,1,3.2,96,masculino,DURANGO,31,casad,4,2
149,POS2939,VS7,S5,Direct,32599,vol-prob personales y/o fam,DO,2023-07-03,JF010600,2023-02-16,0,0.6333333333,19,masculino,COAHUILA,19,solter,0,0
150,POS2939,VS7,S5,Direct,32599,vol-cambio de domicilio,DO,2023-07-03,JF010600,2023-02-16,0,0.6333333333,19,masculino,MOTOZINTLA,21,solter,0,0
151,POS347,LOG,S5,Direct,32600,vol-prob personales y/o fam,DNO,2023-07-03,JT012324,2021-04-15,2,23.03333333,691,masculino,DURANGO,31,u.libr,2,2
152,POS538,VS9-ABS,S5,Direct,32575,vol-insatisfaccion personal,DO,2023-07-03,JT031800,2022-08-09,1,6.0,180,masculino,GENERAL SIMON BOLIVAR,26,u.libr,1,0
153,POS1921,MFS,S5,Direct,32575,vol-prob personales y/o fam,DO,2023-07-03,JS011500,2022-03-10,1,5.166666667,155,masculino,JUAREZ,28,u.libr,0,0
154,POS1323,VS9-ABS,S5,Direct,32575,vol-cambio de domicilio,DO,2023-07-03,JF010600,2022-10-11,1,3.9,117,masculino,JUAREZ,27,solter,1,0
155,POS347,LOG,S5,Direct,32575,vol-no regreso / no dio razon,DNO,2023-09-03,JT012324,2022-12-15,1,2.8,84,masculino,OAXACA,24,solter,0,2
156,POS2076,HRL,S6,Exempt,32540,vol-otro empleo,E3,2023-10-03,ADMINIST,2018-10-18,5,53.46666667,1604,femenino,JUAREZ,48,casad,2,3
